phase	Semaine	Date	Type	Km	D+ (m)	notes du coach	allure	zone d'intensité	durée	description	rpe
base 1	1	27/05/2025	Trail	10	170	Boucle forêt 10 km, 170 m D+. Inclure 3 × 5′ montée (7 %) + descentes contrôlées					
base 1	1	30/05/2025	VMA	6	20	6 × 400 m @100 % VMA, r. 200 m trot ; + éch./RC 15′					
base 1	1	01/06/2025	EF	7	10	7 km					
base 1	2	03/06/2025	Trail	10	180	Même boucle 10 km mais ajoute 1 côte → 180 m D+					
base 1	2	06/06/2025	Seuil	6	20	2 × 6′ @90 % VMA, r. 3′ ; + éch./RC 15′					
base 1	2	08/06/2025	EF	9	20	9 km					
base 1	3	10/06/2025	Trail	11	190	11 km, 190 m D+. 3 × 6′ montée (8 %)					
base 1	3	13/06/2025	VMA	7	25	8 × 400 m @100 % VMA					
base 1	3	15/06/2025	EF	9	25	9 km 					
base 1	4	17/06/2025	Trail	11	200	11 km, 200 m D+. 5 × 4′ montée					
base 1	4	20/06/2025	Seuil	7	25	3 × 8′ @88-90 % VMA					
base 1	4	22/06/2025	EF	12	45	12 km					
base 1	5	24/06/2025	Trail	9	150	9 km, 150 m D+ ; 3 × 4′ montée					
base 1	5	27/06/2025	VMA	5	15	6*400m @100%VMA					
base 1	5	29/06/2025	EF	10	15	10 km					
base 2	6	01/07/2025	Trail	11	200	Boucle forêt 11 km, 200 m D+. 4 × 5′ montée (≈ 8 %), descentes contrôlées					
base 2	6	04/07/2025	Seuil	7	20	2 × 8′ @ ≈ 90 % VMA, récup. 3′ trot ; éch./RC 15′					
base 2	6	06/07/2025	EF	13	80	12 km vallonné facile					
base 2	7	08/07/2025	Trail	12	220	Boucle forêt 12 km, 220 m D+. 5 × 4′ montée (8–9 %)					
base 2	7	11/07/2025	VMA	8	25	8 × 400 m @ 100 % VMA, récup. 200 m trot ; éch./RC 15′					
base 2	7	13/07/2025	EF	14	85	13 km terrain mixte					
base 2	8	15/07/2025	Trail	12	240	12 km, 240 m D+. 3 × 6′ montée raide (≈ 9 %)					
base 2	8	18/07/2025	Seuil	8	30	3 × 8′ @ 88–90 % VMA, récup. 3′ trot ; éch./RC 15′					
base 2	8	20/07/2025	EF	15	90	16 km ondulé, test ravitaillement					
base 2	9	22/07/2025	Trail	10	150	10 km, 150 m D+. 3 × 4′ montée (7 %)					
base 2	9	25/07/2025	EF	8		90' bike EF					
base 2	9	27/07/2025	EF	12	100	12 km facile					
Build	10	29/07/2025	Trail	11	240	Boucle forêt 11 km, 240 m D+. 4 × 5′ montée (≈ 8 %), descentes contrôlées					
Build	10	30/07/2025	VMA	6	25	8 × 400 m @ 100 % VMA, récup. 200 m trot ; éch./RC 15′					
Build	10	01/08/2025	Spécifique	6	250	6 km, 250 m D+. 6 × côte 150 m @ 10 %, récup. descente					
Build	10	03/08/2025	EF	14	80	Boucle ondulée 7 km, allure facile					
Build	11	05/08/2025	Trail	12	250	12 km, 250 m D+. 5 × 4′ montée (8–9 %)					
